,result,director,first_hero,second_hero,first_heroien,second_heroien,multi_starer,music,back_ground,cinematographer,editor,audio,songs,genre,production_no1,production_no2,production_no3,combined_production,distributed_by,month,run_time,art_director,fight_master_one,fight_master_two,fight_master_three,poster,budget
71,average,level-12,no hero,level-7,no heroien,level-2,no,level-5,level-5,level-9,level-1,t-series,less than6,d,no one,level-16,no one,no,normal,may,150 and above,level-3,no one,level-2,no one,level-4,high
72,average,seasonal,no hero,no hero,level-3,no heroien,no,level-9,level-9,level-13,level-5,y not music,more than 6,o,level-2,level-7,no one,yes,national,june,below 120,new,no one,no one,level-3,level-5,medium
73,flop,new,seasonal,no hero,level-6,seasonal,no,level-6,level-6,level-9,level-2,mango music,less than6,o,new,no one,no one,no,top,june,below 120,level-5,no one,new,level-2,level-3,medium
74,average,seasonal,level-14,no hero,new,no heroien,no,level-10,level-10,level-11,new,mango music,less than6,l,no one,new,no one,no,normal,june,120 and above,new,no one,no one,level-3,level-1,medium
75,flop,level-18,level-8,no hero,seasonal,no heroien,no,level-5,level-5,level-13,new,mango music,less than6,a,new,no one,new,yes,low,june,130 and above,new,new,no one,no one,new,medium
76,flop,seasonal,no hero,level-12,seasonal,no heroien,no,level-1,level-1,level-10,level-2,mango music,less than6,d,no one,no one,new,no,low,june,below 120,new,new,no one,no one,new,medium
77,hit,new,level-10,no hero,new,no heroien,no,level-6,level-6,new,new,madhura audio,less than6,ai,level-10,no one,no one,no,normal,june,130 and above,new,no fights,no one,no one,new,low
78,average,level-11,level-10,no hero,level-8,level-7,no,level-8,level-8,level-12,level-7,madhura audio,more than 6,b,new,no one,no one,no,normal,june,130 and above,level-7,level-5,new,level-2,level-2,high
79,hit,new,level-9,level-10,level-7,level-6,yes,level-3,level-3,level-6,level-6,aditya music,more than 6,l,no one,level-10,no one,no,normal,june,130 and above,level-3,new,new,new,level-1,low
80,flop,new,seasonal,no hero,new,no heroien,no,level-9,level-9,level-15,level-1,aditya music,less than6,x,new,no one,no one,no,low,november,120 and above,new,no fights,no one,no one,new,medium
81,flop,seasonal,seasonal,seasonal,new,new,yes,level-10,level-10,new,level-5,aditya music,less than6,x,no one,new,no one,no,normal,october,130 and above,level-9,no fights,no one,no one,level-4,low
82,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,a,new,no one,no one,no,very low,december,120 and above,new,new,no one,no one,new,very low
83,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,november,130 and above,new,new,no one,no one,new,very low
84,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,s,new,no one,no one,no,very low,november,130 and above,new,new,no one,no one,new,very low
85,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,x,new,no one,no one,no,very low,november,130 and above,new,new,no one,no one,new,very low
86,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,l,new,no one,no one,no,very low,september,150 and above,new,new,no one,no one,new,very low
87,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,mango music,less than6,q,new,no one,no one,no,very low,september,150 and above,new,new,no one,no one,new,very low
88,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,mango music,less than6,z,new,no one,no one,no,very low,august,120 and above,new,new,no one,no one,new,very low
89,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,c,new,no one,no one,no,very low,july,120 and above,new,new,no one,no one,new,very low
90,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,july,below 120,new,new,no one,no one,new,very low
91,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,b,new,no one,no one,no,very low,july,below 120,new,new,no one,no one,new,very low
92,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,july,120 and above,new,new,no one,no one,new,very low
93,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,l,new,no one,no one,no,very low,june,120 and above,new,new,no one,no one,new,very low
94,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,a,new,no one,no one,no,very low,june,120 and above,new,new,no one,no one,new,very low
95,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,o,new,no one,no one,no,very low,march,120 and above,new,new,no one,no one,new,very low
96,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,l,new,no one,no one,no,very low,april,120 and above,new,new,no one,no one,new,very low
97,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,ac,new,no one,no one,no,very low,april,120 and above,new,new,no one,no one,new,very low
98,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,april,120 and above,new,new,no one,no one,new,very low
99,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,c,new,no one,no one,no,very low,april,120 and above,new,new,no one,no one,new,very low
100,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,ae,new,no one,no one,no,very low,may,below 120,new,new,no one,no one,new,very low
101,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,april,below 120,new,new,no one,no one,new,very low
102,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,l,new,no one,no one,no,very low,march,120 and above,new,new,no one,no one,new,very low
103,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,aditya music,less than6,aj,new,no one,no one,no,very low,march,120 and above,new,new,no one,no one,new,very low
104,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,december,120 and above,new,new,no one,no one,new,very low
105,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,madhura audio,less than6,q,new,no one,no one,no,very low,january,120 and above,new,new,no one,no one,new,very low
106,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,january,120 and above,new,new,no one,no one,new,very low
107,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,aditya music,less than6,l,new,no one,no one,no,very low,january,130 and above,new,new,no one,no one,new,very low
